0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time,avg_cpu_util,core_load
12,13,5,4,10,0,20,19,1,2,6618.276311,20.6,0.125
15,16,6,10,4,20,0,1,19,18,6618.276311,20.6,0.125
11,3,2,15,12,0,20,1,2,3,6618.276311,20.6,0.125
7,18,4,13,6,0,20,1,2,3,6618.276311,20.6,0.125
13,7,2,0,14,20,0,1,19,18,6618.276311,20.6,0.125
9,5,13,1,18,20,0,1,19,18,6618.276311,20.6,0.125
5,0,1,16,2,20,19,18,0,17,6618.276311,20.6,0.125
12,17,11,13,4,20,0,1,19,2,6618.276311,20.6,0.125
10,8,2,0,1,20,19,0,1,18,6618.276311,20.6,0.125
5,7,15,8,2,0,20,1,2,3,6618.276311,20.6,0.125
15,18,1,14,16,20,19,0,18,1,6618.276311,20.6,0.125
4,17,9,0,11,20,19,18,0,17,6618.276311,20.6,0.125
3,10,14,0,19,0,20,19,1,18,6618.276311,20.6,0.125
8,17,16,7,5,20,19,0,1,18,6618.276311,20.6,0.125
13,1,4,17,10,20,19,18,0,17,6618.276311,20.6,0.125
3,18,2,6,11,0,20,19,18,17,6618.276311,20.6,0.125
8,19,10,11,4,20,19,0,1,18,6618.276311,20.6,0.125
7,13,1,15,16,20,19,0,1,2,6618.276311,20.6,0.125
5,2,8,11,7,20,19,18,0,17,6618.276311,20.6,0.125
0,7,4,18,8,20,0,1,19,18,6618.276311,20.6,0.125
11,9,2,14,6,20,19,0,1,18,6618.276311,20.6,0.125
4,5,17,12,6,20,0,19,1,18,6618.276311,20.6,0.125
15,5,12,7,0,20,0,1,19,2,6618.276311,20.6,0.125
14,10,13,18,7,20,19,18,0,17,6618.276311,20.6,0.125
13,12,18,7,9,20,0,19,18,17,6618.276311,20.6,0.125
13,15,10,4,8,0,20,19,1,2,6618.276311,20.6,0.125
0,12,2,17,5,20,0,1,19,18,6618.276311,20.6,0.125
11,8,9,1,2,0,20,1,2,3,6618.276311,20.6,0.125
11,5,13,6,9,0,1,2,20,19,6618.276311,20.6,0.125
3,17,0,12,6,20,0,1,19,2,6618.276311,20.6,0.125
3,16,14,10,8,0,20,19,1,18,6618.276311,20.6,0.125
7,10,6,12,2,20,0,1,19,18,6618.276311,20.6,0.125
15,1,16,4,12,0,20,1,2,19,6618.276311,20.6,0.125
4,14,13,16,3,20,0,1,19,2,6618.276311,20.6,0.125
8,18,15,19,13,0,20,1,2,19,6618.276311,20.6,0.125
