0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
4,11,0,2,17,0,1,20,2,19,43704.78933,17.62,0.0625
4,12,6,19,0,20,19,18,17,16,43704.78933,17.62,0.0625
14,15,8,16,18,0,20,19,1,2,43704.78933,17.62,0.0625
1,10,17,3,2,0,20,1,2,3,43704.78933,17.62,0.0625
15,6,14,17,2,20,19,18,17,0,43704.78933,17.62,0.0625
13,18,12,2,15,20,19,0,18,17,43704.78933,17.62,0.0625
3,11,4,13,8,20,19,0,18,17,43704.78933,17.62,0.0625
4,19,3,18,16,20,0,19,18,17,43704.78933,17.62,0.0625
2,10,7,0,5,20,0,1,2,3,43704.78933,17.62,0.0625
1,7,9,17,10,20,0,1,19,18,43704.78933,17.62,0.0625
14,12,11,7,2,0,20,19,18,1,43704.78933,17.62,0.0625
2,10,6,3,1,20,19,18,17,16,43704.78933,17.62,0.0625
1,15,2,8,14,0,20,1,2,19,43704.78933,17.62,0.0625
10,7,14,12,15,0,20,19,1,2,43704.78933,17.62,0.0625
11,6,18,4,5,0,20,1,2,3,43704.78933,17.62,0.0625
15,10,12,3,16,20,19,18,17,16,43704.78933,17.62,0.0625
4,3,12,0,15,20,19,18,17,16,43704.78933,17.62,0.0625
14,7,17,6,18,0,1,20,2,19,43704.78933,17.62,0.0625
5,17,13,1,10,20,19,18,17,16,43704.78933,17.62,0.0625
8,9,18,0,13,0,20,1,19,18,43704.78933,17.62,0.0625
11,9,4,10,19,20,0,19,1,2,43704.78933,17.62,0.0625
17,6,5,13,11,0,20,19,18,1,43704.78933,17.62,0.0625
18,3,15,4,19,20,0,19,18,17,43704.78933,17.62,0.0625
14,11,9,1,6,0,20,1,2,3,43704.78933,17.62,0.0625
13,6,4,8,17,20,0,19,1,2,43704.78933,17.62,0.0625
14,3,2,4,1,20,0,19,18,17,43704.78933,17.62,0.0625
11,14,5,18,7,20,19,0,1,2,43704.78933,17.62,0.0625
7,4,18,6,0,20,19,0,18,1,43704.78933,17.62,0.0625
12,10,7,11,15,20,0,1,2,3,43704.78933,17.62,0.0625
