0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
7,6,17,1,14,0,9,1,19,17,1623746.343,16.98,0.03125
3,8,2,12,14,0,3,1,19,8,1623746.343,16.98,0.03125
19,18,16,1,12,0,7,3,20,1,1623746.343,16.98,0.03125
11,4,9,15,0,0,1,8,2,5,1623746.343,16.98,0.03125
4,3,18,15,17,0,6,3,20,17,1623746.343,16.98,0.03125
19,18,2,11,6,0,13,17,3,1,1623746.343,16.98,0.03125
19,11,4,6,3,0,1,2,3,4,1623746.343,16.98,0.03125
10,9,5,12,0,0,7,2,6,19,1623746.343,16.98,0.03125
3,17,19,12,5,14,9,3,6,19,1623746.343,16.98,0.03125
10,2,7,6,15,0,3,4,13,9,1623746.343,16.98,0.03125
17,1,0,16,11,0,2,5,1,3,1623746.343,16.98,0.03125
13,0,4,9,2,1,3,4,13,8,1623746.343,16.98,0.03125
9,6,13,11,2,0,7,2,6,20,1623746.343,16.98,0.03125
4,12,9,0,18,14,6,7,20,3,1623746.343,16.98,0.03125
9,3,18,4,8,0,9,1,19,17,1623746.343,16.98,0.03125
18,7,13,1,2,0,13,17,3,1,1623746.343,16.98,0.03125
10,5,7,11,8,0,3,1,19,8,1623746.343,16.98,0.03125
11,3,10,14,12,0,13,3,4,8,1623746.343,16.98,0.03125
3,8,11,15,1,0,3,9,20,18,1623746.343,16.98,0.03125
0,12,11,4,5,0,8,2,19,17,1623746.343,16.98,0.03125
18,3,12,7,17,0,6,1,2,8,1623746.343,16.98,0.03125
5,4,9,16,17,0,3,2,4,8,1623746.343,16.98,0.03125
12,10,11,5,6,0,14,2,20,9,1623746.343,16.98,0.03125
5,4,10,12,6,0,6,2,3,8,1623746.343,16.98,0.03125
10,9,15,18,6,19,3,6,7,4,1623746.343,16.98,0.03125
14,17,12,7,8,0,1,2,3,4,1623746.343,16.98,0.03125
16,5,8,4,2,14,8,3,20,0,1623746.343,16.98,0.03125
5,3,17,9,8,0,13,2,3,7,1623746.343,16.98,0.03125
15,1,16,19,18,14,9,1,20,0,1623746.343,16.98,0.03125
8,2,4,16,0,0,1,2,3,7,1623746.343,16.98,0.03125
15,5,9,10,1,0,14,17,20,8,1623746.343,16.98,0.03125
3,18,7,12,6,15,9,1,20,4,1623746.343,16.98,0.03125
8,9,4,11,1,15,9,3,20,5,1623746.343,16.98,0.03125
12,0,5,10,7,0,7,2,6,19,1623746.343,16.98,0.03125
15,5,1,2,18,0,3,2,13,8,1623746.343,16.98,0.03125
6,5,15,9,19,0,3,17,6,20,1623746.343,16.98,0.03125
11,1,15,19,18,0,3,2,13,17,1623746.343,16.98,0.03125
7,17,18,1,9,0,7,1,3,19,1623746.343,16.98,0.03125
10,4,2,8,18,0,7,2,3,19,1623746.343,16.98,0.03125
13,15,1,8,17,0,3,1,13,8,1623746.343,16.98,0.03125
11,7,16,8,15,0,3,9,19,17,1623746.343,16.98,0.03125
14,13,10,12,18,0,1,8,19,17,1623746.343,16.98,0.03125
3,2,16,7,9,0,1,9,13,17,1623746.343,16.98,0.03125
17,8,18,13,0,15,9,3,20,4,1623746.343,16.98,0.03125
16,3,18,13,9,0,1,8,2,5,1623746.343,16.98,0.03125
8,16,6,11,5,0,3,4,13,9,1623746.343,16.98,0.03125
16,10,17,8,9,0,1,2,3,7,1623746.343,16.98,0.03125
9,12,16,14,10,0,1,2,3,8,1623746.343,16.98,0.03125
16,11,2,13,6,0,2,5,1,3,1623746.343,16.98,0.03125
17,10,3,7,15,0,6,7,20,3,1623746.343,16.98,0.03125
16,2,11,18,12,0,14,2,20,9,1623746.343,16.98,0.03125
8,7,18,13,5,14,8,3,20,0,1623746.343,16.98,0.03125
8,11,6,9,13,0,7,2,6,19,1623746.343,16.98,0.03125
4,18,11,2,5,0,7,2,3,19,1623746.343,16.98,0.03125
19,9,17,16,3,19,3,1,7,4,1623746.343,16.98,0.03125
16,19,8,6,0,0,7,2,6,20,1623746.343,16.98,0.03125
1,0,9,11,4,0,3,4,1,13,1623746.343,16.98,0.03125
14,17,18,3,13,0,1,8,2,5,1623746.343,16.98,0.03125
19,5,18,10,0,14,9,1,20,0,1623746.343,16.98,0.03125
14,1,19,8,9,0,13,17,3,1,1623746.343,16.98,0.03125
14,3,2,13,6,14,6,7,20,3,1623746.343,16.98,0.03125
17,14,15,8,10,15,9,1,20,4,1623746.343,16.98,0.03125
0,10,14,13,17,0,13,2,3,8,1623746.343,16.98,0.03125
1,14,6,10,12,0,6,3,20,17,1623746.343,16.98,0.03125
19,2,16,5,6,0,3,9,20,18,1623746.343,16.98,0.03125
14,18,8,19,15,0,1,9,13,17,1623746.343,16.98,0.03125
10,6,0,1,11,1,3,4,13,8,1623746.343,16.98,0.03125
8,6,4,0,9,15,9,3,20,5,1623746.343,16.98,0.03125
1,8,7,13,0,0,3,5,13,8,1623746.343,16.98,0.03125
12,14,5,6,18,0,1,8,19,17,1623746.343,16.98,0.03125
3,13,10,14,17,15,9,3,20,4,1623746.343,16.98,0.03125
19,8,6,17,12,0,3,2,4,8,1623746.343,16.98,0.03125
19,4,16,2,9,0,1,3,19,17,1623746.343,16.98,0.03125
14,12,18,0,1,14,9,3,6,19,1623746.343,16.98,0.03125
19,13,6,0,11,0,9,1,19,17,1623746.343,16.98,0.03125
8,19,12,9,0,0,1,2,3,4,1623746.343,16.98,0.03125
17,5,19,16,9,0,6,1,2,8,1623746.343,16.98,0.03125
9,19,17,4,3,0,13,3,4,8,1623746.343,16.98,0.03125
8,4,9,14,2,14,3,4,13,8,1623746.343,16.98,0.03125
6,17,11,4,1,0,3,9,19,17,1623746.343,16.98,0.03125
15,19,18,10,4,0,3,1,19,8,1623746.343,16.98,0.03125
14,9,15,19,2,0,13,2,3,7,1623746.343,16.98,0.03125
5,4,9,13,15,0,13,17,3,1,1623746.343,16.98,0.03125
4,3,5,18,1,14,9,1,20,0,1623746.343,16.98,0.03125
0,12,15,11,10,0,1,2,3,4,1623746.343,16.98,0.03125
8,13,18,14,4,0,1,8,2,5,1623746.343,16.98,0.03125
6,13,3,10,12,0,1,8,19,17,1623746.343,16.98,0.03125
13,4,14,6,5,0,13,2,3,7,1623746.343,16.98,0.03125
3,4,7,2,5,0,1,2,3,7,1623746.343,16.98,0.03125
10,7,12,19,11,0,13,3,4,8,1623746.343,16.98,0.03125
13,10,15,11,2,0,3,2,13,17,1623746.343,16.98,0.03125
8,15,3,7,5,15,9,3,20,5,1623746.343,16.98,0.03125
1,7,11,0,12,14,7,3,20,1,1623746.343,16.98,0.03125
5,9,15,3,13,14,8,3,20,0,1623746.343,16.98,0.03125
19,14,17,1,2,0,3,1,19,8,1623746.343,16.98,0.03125
15,1,11,6,9,0,6,3,13,8,1623746.343,16.98,0.03125
13,2,12,19,15,0,3,4,13,9,1623746.343,16.98,0.03125
18,19,15,10,6,0,2,3,13,8,1623746.343,16.98,0.03125
3,6,7,17,1,1,3,4,13,7,1623746.343,16.98,0.03125
15,14,9,4,12,0,3,9,20,18,1623746.343,16.98,0.03125
9,16,11,7,0,0,2,5,1,3,1623746.343,16.98,0.03125
2,5,6,0,1,0,14,3,20,9,1623746.343,16.98,0.03125
6,8,17,5,4,0,7,3,20,1,1623746.343,16.98,0.03125
6,14,8,9,1,0,7,2,3,19,1623746.343,16.98,0.03125
18,3,17,11,0,19,3,6,7,4,1623746.343,16.98,0.03125
10,11,6,12,13,0,3,9,19,17,1623746.343,16.98,0.03125
19,6,1,10,17,1,3,4,13,8,1623746.343,16.98,0.03125
5,12,3,15,4,14,9,3,6,19,1623746.343,16.98,0.03125
2,0,6,17,4,0,6,2,3,8,1623746.343,16.98,0.03125
8,10,4,2,19,0,1,3,19,17,1623746.343,16.98,0.03125
3,18,12,14,8,15,9,3,20,4,1623746.343,16.98,0.03125
7,17,6,10,15,0,7,2,6,20,1623746.343,16.98,0.03125
10,8,1,13,19,0,9,2,20,17,1623746.343,16.98,0.03125
3,16,11,4,15,0,3,2,4,8,1623746.343,16.98,0.03125
10,7,2,17,4,15,9,1,20,4,1623746.343,16.98,0.03125
15,7,13,2,18,0,8,2,20,17,1623746.343,16.98,0.03125
2,1,6,15,9,0,3,9,13,17,1623746.343,16.98,0.03125
17,13,4,6,15,0,6,1,2,8,1623746.343,16.98,0.03125
14,4,9,19,16,14,8,5,20,0,1623746.343,16.98,0.03125
14,5,2,10,6,0,3,9,19,17,1623746.343,16.98,0.03125
1,10,18,11,14,0,7,3,20,1,1623746.343,16.98,0.03125
18,8,11,6,14,0,14,2,20,8,1623746.343,16.98,0.03125
0,17,11,12,18,0,7,2,6,19,1623746.343,16.98,0.03125
1,7,16,12,3,0,1,8,19,17,1623746.343,16.98,0.03125
16,4,12,10,19,0,13,17,3,1,1623746.343,16.98,0.03125
8,14,16,12,2,15,9,1,20,4,1623746.343,16.98,0.03125
0,15,2,10,18,0,6,1,2,8,1623746.343,16.98,0.03125
7,1,14,11,12,19,3,1,7,4,1623746.343,16.98,0.03125
14,11,3,19,1,0,3,2,4,8,1623746.343,16.98,0.03125
12,19,17,14,5,0,3,9,20,18,1623746.343,16.98,0.03125
11,17,8,19,10,0,7,2,6,20,1623746.343,16.98,0.03125
13,0,19,3,16,0,7,2,3,19,1623746.343,16.98,0.03125
5,8,16,14,6,0,8,2,20,17,1623746.343,16.98,0.03125
17,1,15,2,12,0,13,3,4,8,1623746.343,16.98,0.03125
4,6,17,19,12,14,6,3,7,19,1623746.343,16.98,0.03125
12,6,3,10,4,0,1,9,13,17,1623746.343,16.98,0.03125
17,5,12,15,0,0,3,2,13,8,1623746.343,16.98,0.03125
14,11,13,1,16,0,13,2,3,7,1623746.343,16.98,0.03125
9,4,17,7,2,0,3,5,13,8,1623746.343,16.98,0.03125
12,3,4,15,14,0,1,8,2,5,1623746.343,16.98,0.03125
4,3,6,8,19,1,3,4,13,8,1623746.343,16.98,0.03125
16,8,7,0,1,14,9,1,20,0,1623746.343,16.98,0.03125
16,0,17,8,19,15,9,3,20,4,1623746.343,16.98,0.03125
5,9,10,14,8,0,9,1,19,17,1623746.343,16.98,0.03125
3,14,6,13,1,0,2,3,13,4,1623746.343,16.98,0.03125
13,12,9,15,5,0,3,4,13,9,1623746.343,16.98,0.03125
4,13,12,15,3,0,6,2,3,8,1623746.343,16.98,0.03125
13,18,17,19,10,0,13,17,3,8,1623746.343,16.98,0.03125
7,6,8,12,0,15,9,3,20,5,1623746.343,16.98,0.03125
